"IUCN_binomial","trait_binomial","phylogeny_binomial","body_mass_median","litter_clutch_size","activity","hab_breadth","volant","diet_5cat","range_size_decimaldegrees","range_size_km2","threat"
"Alouatta_puruensis","Alouatta_puruensis","Alouatta_puruensis",6361.288889,NA,NA,NA,1,NA,85.8587452594,1051504.34512957,"LC"
"Alouatta_sara","Alouatta_sara","Alouatta_sara",6611.04,1.2,1,3,1,1,28.616694839,343413.623704771,"LC"
"Alouatta_ululata","Alouatta_ululata","Alouatta_ululata",6361.288889,NA,1,2,1,1,8.10392343492,100207.479330211,"EN"
"Alticola_albicaudus","Alticola_albicaudus","Alticola_albicaudus",38.37065301,NA,2,2,1,1,7.856314559239,80363.0135196858,"DD"
"Alticola_argentatus","Alticola_argentatus","Alticola_argentatus",37.69,4.5025,2,3,1,1,148.37665741264,1381941.60096841,"LC"
"Alticola_barakshin","Alticola_barakshin","Alticola_barakshin",39.92930602,NA,2,2,1,1,26.393884919718,225934.481284589,"LC"
"Alticola_lemminus","Alticola_lemminus","Alticola_lemminus",39.90930602,NA,1,1,1,1,374.0366504237,2059645.11796508,"LC"
"Alticola_macrotis","Alticola_macrotis","Alticola_macrotis",36,NA,1,1,1,1,49.090616994361,378697.150640494,"LC"
"Alticola_montosa","Alticola_montosa","Alticola_montosa",36,4.87,2,2,1,1,1.9159331202475,19575.8045823545,"VU"
"Alticola_olchonensis","Alticola_olchonensis","Alticola_olchonensis",37.69,4.435,1,1,1,1,0.180852542359,1345.82670912549,"EN"
"Alticola_roylei","Alticola_roylei","Alticola_roylei",37,5.155,2,3,1,1,3.6458156894,38562.610933515,"NT"
"Alticola_semicanus","Alticola_semicanus","Alticola_semicanus",36,4.87,2,2,1,1,79.7836411608,670873.796940101,"LC"
"Alticola_stoliczkanus","Alticola_stoliczkanus","Alticola_stoliczkanus",30.14,7.77,2,4,1,1,227.15479901058,2311229.97168927,"LC"
"Alticola_strelzowi","Alticola_strelzowi","Alticola_strelzowi",49.995,7.1,1,1,1,1,54.2895394478,440874.370699827,"LC"
"Alticola_tuvinicus","Alticola_tuvinicus","Alticola_tuvinicus",39.78930602,NA,2,1,1,1,52.6165056654633,402993.777326693,"LC"
"Amblysomus_corriae","Amblysomus_corriae","Amblysomus_corriae",52.6,1.93,1,9,1,4,4.93503476068,50767.1775932215,"NT"
"Amblysomus_hottentotus","Amblysomus_hottentotus","Amblysomus_hottentotus",62.6,1.895,1,9,1,4,19.9447163417,213199.762533481,"LC"
"Amblysomus_marleyi","Amblysomus_marleyi","Amblysomus_marleyi",52.6,1.93,1,10,1,4,0.127793599644,1408.20812463311,"EN"
"Amblysomus_robustus","Amblysomus_robustus","Amblysomus_robustus",64.8,1.93,1,7,1,4,0.1554788257933,1742.3059667324,"VU"
"Amblysomus_septentrionalis","Amblysomus_septentrionalis","Amblysomus_septentrionalis",52.6,1.93,1,9,1,4,2.99337590018141,33166.7918597497,"NT"
"Ametrida_centurio","Ametrida_centurio","Ametrida_centurio",10.61,0.99,2,1,2,2,471.81901435527,5802898.13203877,"LC"
"Ammodillus_imbellis","Ammodillus_imbellis","Ammodillus_imbellis",49.99,NA,2,1,1,1,12.6095224151,155188.614639997,"DD"
"Ammodorcas_clarkei","Ammodorcas_clarkei","Ammodorcas_clarkei",28049.81,1,1,NA,1,1,7.648761425108,94179.7092154561,"VU"
"Ammospermophilus_harrisii","Ammospermophilus_harrisii","Ammospermophilus_harrisii",126,6.49,1,1,1,5,25.8614415293,270261.066279017,"LC"
"Ammospermophilus_interpres","Ammospermophilus_interpres","Ammospermophilus_interpres",111.365,9.43,1,3,1,5,29.0855688859,313517.367814906,"LC"
"Ammospermophilus_leucurus","Ammospermophilus_leucurus","Ammospermophilus_leucurus",103.67,8,1,3,1,5,100.88268851506,992561.708043689,"LC"
"Ammospermophilus_nelsoni","Ammospermophilus_nelsoni","Ammospermophilus_nelsoni",160.4,8.9,1,2,1,5,0.85739140448615,8629.06515557225,"EN"
"Ammotragus_lervia","Ammotragus_lervia","Ammotragus_lervia",92500,1.22,1,7,1,1,127.692821931832,1422940.17760611,"VU"
"Amorphochilus_schnablii","Amorphochilus_schnablii","Amorphochilus_schnablii",3.3,0.9925,2,2,2,4,14.8929307849481,180136.979529032,"VU"
"Amphinectomys_savamis","Amphinectomys_savamis","Amphinectomys_savamis",130.855,NA,2,2,1,1,0.0807920050098,997.873396125432,"DD"
"Anathana_ellioti","Anathana_ellioti","Anathana_ellioti",160,4.84,1,2,1,4,116.67250092,1373471.1393444,"LC"
"Andalgalomys_olrogi","Andalgalomys_olrogi","Andalgalomys_olrogi",32.9,NA,2,1,1,1,5.37597326032,57300.0984289108,"LC"
"Andalgalomys_pearsoni","Andalgalomys_pearsoni","Andalgalomys_pearsoni",25.4,NA,2,1,1,1,12.0478147234,139728.642175775,"LC"
"Andinomys_edax","Andinomys_edax","Andinomys_edax",69.75,2.91,2,3,1,1,19.8917451501,229741.085687623,"LC"
"Anisomys_imitator","Anisomys_imitator","Anisomys_imitator",510.5,NA,2,1,1,2,14.834704316291,182882.207082381,"LC"
"Anomalurus_beecrofti","Anomalurus_beecrofti","Anomalurus_beecrofti",434.035,0.985,2,4,1,5,264.44956275498,3266814.75324189,"LC"
"Anomalurus_derbianus","Anomalurus_derbianus","Anomalurus_derbianus",665.84,1.085,2,3,1,5,470.66348801538,5790356.92405732,"LC"
"Anomalurus_pelii","Anomalurus_pelii","Anomalurus_pelii",1769.99,2.5,2,1,1,5,19.8486023274,244467.954282104,"DD"
"Anomalurus_pusillus","Anomalurus_pusillus","Anomalurus_pusillus",250,NA,2,1,1,5,46.5838387391,576995.780066451,"LC"
"Anonymomys_mindorensis","Anonymomys_mindorensis","Anonymomys_mindorensis",76.5,NA,2,1,1,1,0.0495539850407,597.812881469899,"DD"
"Anotomys_leander","Anotomys_leander","Anotomys_leander",66.39,0.97,2,3,1,1,0.567863980161,7037.01562636349,"VU"
"Anoura_caudifer","Anoura_caudifer","Anoura_caudifer",10.81,0.9925,2,3,2,2,495.982729428,5972633.48022841,"LC"
"Anoura_cultrata","Anoura_cultrata","Anoura_cultrata",17.39,1.22,2,2,2,2,62.2208115977,762278.622816021,"LC"
"Anoura_fistulata","Anoura_fistulata","Anoura_fistulata",14.6025,NA,NA,NA,2,NA,1.771419115025,21927.6554443097,"DD"
"Anoura_geoffroyi","Anoura_geoffroyi","Anoura_geoffroyi",15.15,0.995,2,7,2,2,685.302558265823,8255784.98711223,"LC"
"Anoura_latidens","Anoura_latidens","Anoura_latidens",15.06,NA,2,5,2,2,58.01643621483,714667.668016095,"LC"
"Anoura_luismanueli","Anoura_luismanueli","Anoura_luismanueli",14.32625,NA,2,3,2,2,6.91926687855,85111.0032680568,"LC"
"Anourosorex_assamensis","Anourosorex_assamensis","Anourosorex_assamensis",20,2.82,2,1,1,4,1.581070314877,17678.5770334046,"LC"
